                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.95765,                0.63593,                0.97769,                0.96172,                 0.9671,                0.98944,                 0.6464,                 1.2424,                0.64361,                 1.0585,              0.0010329,              0.0010329,              0.0010329
                     58,                0.97797,                 0.6429,                0.97166,                0.96143,                0.98055,                0.99218,                0.66212,                 1.2513,                0.63641,                 1.0847,              0.0010258,              0.0010258,              0.0010258
                     59,                0.94981,                0.62011,                0.96661,                0.97387,                0.98095,                0.99195,                0.67194,                  1.328,                 0.6647,                 1.1464,              0.0010187,              0.0010187,              0.0010187
                     60,                0.93063,                  0.623,                0.96534,                0.96614,                0.98675,                 0.9923,                0.69102,                 1.2473,                0.59316,                 1.1368,              0.0010117,              0.0010117,              0.0010117
                     61,                 0.9457,                0.61929,                0.96355,                 0.9588,                0.98681,                0.99305,                0.70883,                 1.2056,                0.59616,                 1.1215,              0.0010046,              0.0010046,              0.0010046
                     62,                0.90704,                0.61765,                0.95501,                0.95082,                 0.9619,                0.98392,                0.68223,                 1.2221,                0.59094,                 1.0782,             0.00099751,             0.00099751,             0.00099751
                     63,                0.91926,                0.59417,                0.95591,                0.97474,                0.99048,                0.98861,                0.66562,                 1.2145,                0.62672,                  1.085,             0.00099044,             0.00099044,             0.00099044
                     64,                0.93722,                 0.5955,                0.95597,                0.98494,                0.98864,                0.99454,                0.68653,                 1.1931,                0.65149,                  1.073,             0.00098337,             0.00098337,             0.00098337
                     65,                0.90389,                0.59746,                0.95976,                0.95923,                0.99048,                0.98876,                0.67003,                 1.2752,                0.63134,                 1.1187,             0.00097629,             0.00097629,             0.00097629
                     66,                0.92391,                0.60577,                0.95812,                0.96697,                0.99906,                0.99322,                0.68548,                 1.2538,                0.60177,                 1.1241,             0.00096922,             0.00096922,             0.00096922
                     67,                0.89465,                0.60389,                0.96784,                0.96575,                0.99492,                0.99426,                0.69437,                 1.1971,                0.56625,                 1.0949,             0.00096215,             0.00096215,             0.00096215
                     68,                0.89496,                0.58563,                0.93926,                0.97486,                0.97324,                0.99207,                0.65185,                 1.3149,                0.64919,                 1.1131,             0.00095507,             0.00095507,             0.00095507
